field size/depth,4,5,6,7,8,9,10,12,15,20,25,30,35,40,50,60
0.5,1.032,1.036,1.04,1.043,1.048,1.052,1.054,1.06,1.068,1.078,1.085,1.089,1.093,1.096,1.099,1.102
1,1.016,1.022,1.029,1.034,1.039,1.043,1.048,1.054,1.063,1.073,1.081,1.86,1.09,1.095,1.102,1.109
1.5,0.997,1.006,1.014,1.02,1.026,1.03,1.036,1.043,1.053,1.064,1.073,1.465,1.083,1.087,1.094,1.101
2,0.978,0.989,0.999,1.006,1.012,1.017,1.023,1.031,1.042,1.055,1.064,1.07,1.075,1.079,1.086,1.093
2.5,0.957,0.969,0.98,0.988,0.995,1.001,1.008,1.017,1.028,1.043,1.052,1.059,1.064,1.068,1.076,1.084
3,0.936,0.949,0.961,0.97,0.978,0.985,0.992,1.002,1.014,1.031,1.04,1.048,1.053,1.057,1.066,1.074
3.5,0.915,0.929,0.941,0.951,0.96,0.968,0.975,0.986,0.999,1.017,1.027,1.035,1.041,1.046,1.055,1.064
4,0.893,0.908,0.921,0.931,0.942,0.95,0.957,0.97,0.984,1.003,1.014,1.022,1.028,1.035,1.043,1.054
4.5,0.87,0.886,0.901,0.912,0.923,0.932,0.939,0.953,0.969,0.989,1,1.009,1.015,1.022,1.032,1.042
5,0.847,0.864,0.88,0.892,0.904,0.913,0.921,0.936,0.953,0.974,0.986,0.996,1.002,1.008,1.02,1.029
5.5,0.824,0.842,0.858,0.871,0.883,0.893,0.903,0.918,0.937,0.958,0.972,0.982,0.989,0.995,1.007,1.017
6,0.801,0.819,0.835,0.85,0.862,0.873,0.884,0.9,0.92,0.942,0.957,0.967,0.975,0.981,0.993,1.004
6.5,0.779,0.798,0.815,0.83,0.843,0.854,0.865,0.882,0.903,0.926,0.941,0.952,0.96,0.967,0.979,0.99
7,0.756,0.777,0.794,0.809,0.823,0.835,0.845,0.863,0.886,0.909,0.924,0.937,0.945,0.952,0.965,0.976
7.5,0.736,0.756,0.773,0.789,0.803,0.815,0.825,0.844,0.868,0.893,0.91,0.923,0.931,0.938,0.952,0.963
8,0.715,0.734,0.751,0.768,0.782,0.794,0.805,0.825,0.849,0.876,0.895,0.908,0.916,0.923,0.939,0.95
8.5,0.694,0.713,0.732,0.748,0.762,0.775,0.787,0.807,0.831,0.86,0.879,0.892,0.902,0.909,0.924,0.936
9,0.672,0.692,0.712,0.728,0.742,0.755,0.769,0.789,0.813,0.843,0.862,0.876,0.887,0.895,0.909,0.921
9.5,0.652,0.673,0.692,0.708,0.723,0.737,0.75,0.77,0.796,0.826,0.847,0.861,0.872,0.88,0.896,0.907
10,0.631,0.654,0.671,0.688,0.704,0.719,0.731,0.751,0.779,0.809,0.831,0.845,0.856,0.865,0.882,0.892
10.5,0.614,0.635,0.653,0.67,0.685,0.697,0.712,0.733,0.761,0.793,0.815,0.83,0.841,0.851,0.867,0.878
11,0.596,0.615,0.634,0.651,0.666,0.675,0.692,0.715,0.742,0.776,0.798,0.814,0.826,0.836,0.852,0.864
11.5,0.578,0.598,0.616,0.633,0.648,0.659,0.675,0.698,0.726,0.76,0.783,0.799,0.811,0.821,0.839,0.85
12,0.56,0.58,0.598,0.614,0.629,0.643,0.658,0.68,0.709,0.743,0.767,0.784,0.796,0.806,0.825,0.836
12.5,0.543,0.563,0.581,0.597,0.612,0.626,0.641,0.663,0.692,0.728,0.752,0.769,0.783,0.793,0.811,0.823
13,0.526,0.546,0.563,0.579,0.595,0.609,0.623,0.646,0.675,0.712,0.736,0.754,0.769,0.779,0.797,0.809
13.5,0.511,0.53,0.547,0.564,0.579,0.593,0.606,0.63,0.658,0.696,0.721,0.739,0.754,0.765,0.784,0.795
14,0.496,0.514,0.53,0.549,0.563,0.576,0.589,0.613,0.641,0.68,0.705,0.724,0.739,0.75,0.77,0.781
14.5,0.481,0.499,0.515,0.533,0.546,0.56,0.573,0.597,0.626,0.665,0.691,0.71,0.725,0.737,0.756,0.767
15,0.465,0.483,0.5,0.516,0.529,0.543,0.557,0.581,0.611,0.649,0.676,0.695,0.711,0.723,0.742,0.753
15.5,0.452,0.47,0.486,0.501,0.515,0.529,0.542,0.567,0.596,0.635,0.662,0.681,0.697,0.71,0.73,0.74
16,0.439,0.456,0.471,0.486,0.5,0.514,0.527,0.552,0.581,0.62,0.647,0.667,0.683,0.696,0.717,0.727
16.5,0.425,0.442,0.458,0.472,0.486,0.5,0.513,0.537,0.567,0.605,0.633,0.653,0.67,0.683,0.704,0.714
17,0.41,0.428,0.444,0.458,0.471,0.486,0.499,0.521,0.552,0.59,0.618,0.638,0.656,0.669,0.69,0.7
17.5,0.399,0.415,0.431,0.446,0.459,0.473,0.485,0.508,0.538,0.577,0.604,0.625,0.643,0.655,0.677,0.687
18,0.387,0.402,0.417,0.433,0.447,0.459,0.471,0.494,0.523,0.563,0.59,0.611,0.629,0.641,0.663,0.673
18.5,0.375,0.39,0.405,0.42,0.433,0.446,0.459,0.481,0.51,0.549,0.577,0.598,0.616,0.629,0.651,0.662
19,0.362,0.377,0.392,0.406,0.419,0.433,0.446,0.467,0.497,0.535,0.563,0.585,0.603,0.617,0.638,0.651
19.5,0.352,0.366,0.381,0.394,0.407,0.42,0.432,0.454,0.484,0.522,0.55,0.572,0.59,0.604,0.626,0.638
20,0.341,0.354,0.369,0.382,0.394,0.406,0.418,0.441,0.47,0.509,0.536,0.558,0.576,0.59,0.613,0.624
20.5,0.331,0.344,0.359,0.371,0.383,0.395,0.407,0.43,0.458,0.497,0.525,0.547,0.565,0.579,0.601,0.612
21,0.322,0.334,0.348,0.361,0.372,0.384,0.396,0.418,0.447,0.485,0.513,0.5535,0.554,0568,0.589,0.601
21.5,0.312,0.324,0.338,0.35,0.361,0.373,0.385,0.407,0.435,0.473,0.502,0.524,0.542,0.556,0.576,0.589
22,0.302,0.314,0.327,0.339,0.35,0.362,0.374,0.395,0.423,0.461,0.49,0.512,0.531,0.545,0.564,0.577
22.5,0.293,0.305,0.318,0.329,0.34,0.352,0.364,0.384,0.412,0.45,0.479,0.501,0.52,0.534,0.554,0.566
23,0.284,0.296,0.308,0.32,0.33,0.342,0.353,0.374,0.402,0.439,0.468,0.489,0.509,0.523,0.543,0.556
23.5,0.274,0.286,0.299,0.31,0.32,0.332,0.343,0.363,0.391,0.427,0.456,0.478,0.497,0.512,0.533,0.545
24,0.265,0.277,0.289,0.3,0.31,0.322,0.332,0.352,0.38,0.416,0.445,0.466,0.486,0.501,0.522,0.534
24.5,0.257,0.269,0.281,0.292,0.301,0.313,0.323,0.343,0.37,0.406,0.435,0.456,0.476,0.491,0.512,0.524
25,0.25,0.26,0.272,0.283,0.293,0.304,0.314,0.334,0.361,0.397,0.424,0.446,0.465,0.48,0.501,0.513
25.5,0.242,0.252,0.264,0.275,0.284,0.295,0.305,0.324,0.351,0.387,0.414,0.435,0.455,0.47,0.491,0.503
26,0.234,0.243,0.255,0.266,0.275,0.286,0.296,0.315,0.341,0.377,0.403,0.425,0.444,0.459,0.48,0.492
26.5,0.227,0.236,0.248,0.258,0.267,0.278,0.288,0.307,0.332,0.368,0.394,0.416,0.435,0.45,0.471,0.482
27,0.221,0.23,0.241,0.251,0.26,0.271,0.281,0.298,0.323,0.359,0.385,0.407,0.426,0.44,0.461,0.473
27.5,0.214,0.223,0.233,0.243,0.252,0.263,0.273,0.29,0.313,0.349,0.375,0.398,0.416,0.431,0.452,0.463
28,0.207,0.216,0.226,0.235,0.244,0.255,0.265,0.281,0.304,0.34,0.366,0.389,0.407,0.421,0.442,0.453
28.5,0.201,0.21,0.22,0.229,0.237,0.248,0.257,0.273,0.296,0.331,0.358,0.38,0.398,0.412,0.432,0.443
29,0.194,0.203,0.213,0.222,0.231,0.24,0.249,0.265,0.289,0.323,0.334,0.371,0.39,0.403,0.423,0.433
29.5,0.188,0.197,0.207,0.216,0.224,0.233,0.241,0.257,0.281,0.318,0.341,0.362,0.381,0.394,0.413,0.423
30,0.181,0.19,0.2,0.209,0.217,0.225,0.233,0.249,0.273,0.305,0.332,0.353,0.372,0.385,0.403,0.413
